Event_Name,Event_Type,Department,Rating,Feedback_Comment
Cyber Security Talk,Cultural,ECE,2,Expected more from this event
Startup Meetup,Cultural,Arts,2,Not well organized
Tech Fest,Seminar,IT,4,Very informative and well organized
Cultural Night,Workshop,Civil,2,Too long and boring
AI Workshop,Technical,ECE,1,Sound system was bad
Startup Meetup,Technical,Management,2,Not well organized
Tech Fest,Workshop,Management,4,Excellent arrangements and content
Cyber Security Talk,Workshop,Civil,3,"Average experience, could be better"
Robotics Expo,Cultural,Management,4,Very informative and well organized
AI Workshop,Technical,CSE,5,Amazing experience and great speakers
Tech Fest,Technical,Arts,2,Not well organized
Startup Meetup,Technical,Management,1,Sound system was bad
Cultural Night,Workshop,CSE,4,Highly engaging and interactive session
Leadership Workshop,Workshop,Mechanical,4,Very informative and well organized
Leadership Workshop,Workshop,Management,5,Learned a lot from this event
Cyber Security Talk,Seminar,Management,4,Learned a lot from this event
Robotics Expo,Cultural,CSE,2,Expected more from this event
Hackathon,Cultural,Management,4,Learned a lot from this event
Data Science Bootcamp,Seminar,Arts,3,Decent event
Hackathon,Technical,ECE,4,Learned a lot from this event
Startup Meetup,Cultural,Arts,5,Very informative and well organized
Career Seminar,Technical,CSE,4,Highly engaging and interactive session
Career Seminar,Workshop,ECE,2,Too long and boring
Robotics Expo,Workshop,Management,1,Sound system was bad
Tech Fest,Workshop,ECE,5,Amazing experience and great speakers
Career Seminar,Workshop,Civil,4,Learned a lot from this event
Cultural Night,Technical,CSE,4,Amazing experience and great speakers
Tech Fest,Seminar,EEE,4,Learned a lot from this event
Robotics Expo,Cultural,ECE,3,It was okay overall
Startup Meetup,Seminar,Arts,2,Too long and boring
Data Science Bootcamp,Cultural,EEE,3,It was okay overall
Leadership Workshop,Technical,CSE,4,Highly engaging and interactive session
Robotics Expo,Seminar,EEE,3,"Average experience, could be better"
Startup Meetup,Seminar,EEE,2,Sound system was bad
Data Science Bootcamp,Workshop,Civil,2,Too long and boring
Cyber Security Talk,Workshop,Arts,4,Amazing experience and great speakers
Startup Meetup,Workshop,ECE,2,Sound system was bad
Cultural Night,Technical,CSE,3,Neither good nor bad
Startup Meetup,Technical,CSE,2,Sound system was bad
Hackathon,Workshop,EEE,5,Highly engaging and interactive session
Cultural Night,Seminar,CSE,3,It was okay overall
Cultural Night,Workshop,EEE,3,"Average experience, could be better"
Cyber Security Talk,Workshop,Mechanical,1,Expected more from this event
AI Workshop,Workshop,Civil,3,Decent event
Tech Fest,Cultural,Arts,4,Highly engaging and interactive session
AI Workshop,Cultural,IT,2,Not well organized
Leadership Workshop,Seminar,CSE,4,Excellent arrangements and content
Career Seminar,Cultural,Mechanical,4,Learned a lot from this event
AI Workshop,Cultural,Arts,3,"Average experience, could be better"
Startup Meetup,Workshop,Management,5,Amazing experience and great speakers
Career Seminar,Workshop,ECE,3,It was okay overall
Leadership Workshop,Seminar,Civil,4,Amazing experience and great speakers
Hackathon,Workshop,EEE,5,Amazing experience and great speakers
Cultural Night,Seminar,Arts,5,Very informative and well organized
Cultural Night,Technical,Civil,5,Amazing experience and great speakers
Data Science Bootcamp,Technical,Civil,1,Sound system was bad
Career Seminar,Cultural,IT,5,Excellent arrangements and content
Career Seminar,Technical,Management,1,Sound system was bad
Cyber Security Talk,Seminar,CSE,4,Excellent arrangements and content
Cultural Night,Cultural,Arts,4,Excellent arrangements and content
AI Workshop,Cultural,Management,4,Excellent arrangements and content
Cyber Security Talk,Cultural,IT,2,Sound system was bad
Cyber Security Talk,Cultural,ECE,1,Sound system was bad
Startup Meetup,Seminar,ECE,3,"Average experience, could be better"
Career Seminar,Cultural,Management,2,Poor time management
Hackathon,Workshop,Management,2,Not well organized
Leadership Workshop,Cultural,Civil,2,Expected more from this event
Tech Fest,Workshop,Civil,5,Learned a lot from this event
Robotics Expo,Cultural,Management,3,Content was fine but nothing special
AI Workshop,Seminar,CSE,3,"Average experience, could be better"
Cultural Night,Technical,CSE,5,Excellent arrangements and content
Tech Fest,Workshop,Arts,2,Poor time management
Robotics Expo,Workshop,ECE,2,Not well organized
Startup Meetup,Workshop,ECE,3,Decent event
Hackathon,Seminar,Mechanical,2,Sound system was bad
Leadership Workshop,Technical,Management,5,Amazing experience and great speakers
AI Workshop,Technical,CSE,4,Very informative and well organized
Hackathon,Seminar,Management,5,Very informative and well organized
Cultural Night,Workshop,Management,1,Not well organized
Startup Meetup,Workshop,Arts,3,Content was fine but nothing special
Leadership Workshop,Cultural,Mechanical,5,Learned a lot from this event
Robotics Expo,Technical,CSE,1,Not well organized
Startup Meetup,Technical,Management,5,Amazing experience and great speakers
Cyber Security Talk,Technical,CSE,3,Content was fine but nothing special
Startup Meetup,Workshop,Mechanical,3,Content was fine but nothing special
Leadership Workshop,Cultural,Mechanical,4,Excellent arrangements and content
Cultural Night,Seminar,CSE,4,Amazing experience and great speakers
Cyber Security Talk,Technical,Civil,3,"Average experience, could be better"
Career Seminar,Technical,EEE,4,Excellent arrangements and content
Hackathon,Seminar,Arts,4,Highly engaging and interactive session
Cyber Security Talk,Workshop,Arts,1,Expected more from this event
Hackathon,Cultural,CSE,3,"Average experience, could be better"
Cyber Security Talk,Cultural,EEE,5,Excellent arrangements and content
Robotics Expo,Workshop,Civil,5,Very informative and well organized
Cultural Night,Technical,Management,1,Sound system was bad
Leadership Workshop,Workshop,Mechanical,3,Decent event
Cultural Night,Cultural,Mechanical,2,Too long and boring
Leadership Workshop,Cultural,ECE,5,Excellent arrangements and content
AI Workshop,Cultural,Management,1,Sound system was bad
Cyber Security Talk,Seminar,IT,1,Sound system was bad
Cyber Security Talk,Technical,EEE,1,Expected more from this event
Robotics Expo,Cultural,Management,3,Content was fine but nothing special
Hackathon,Technical,EEE,4,Very informative and well organized
Hackathon,Seminar,Mechanical,4,Excellent arrangements and content
Leadership Workshop,Technical,IT,4,Excellent arrangements and content
Data Science Bootcamp,Workshop,IT,4,Very informative and well organized
Cultural Night,Seminar,Civil,3,It was okay overall
Robotics Expo,Technical,CSE,3,Neither good nor bad
AI Workshop,Cultural,EEE,1,Too long and boring
Career Seminar,Workshop,Management,2,Sound system was bad
AI Workshop,Workshop,Civil,4,Very informative and well organized
Tech Fest,Workshop,Civil,3,It was okay overall
Cyber Security Talk,Technical,IT,4,Amazing experience and great speakers
Data Science Bootcamp,Cultural,Civil,1,Poor time management
Cyber Security Talk,Technical,Civil,4,Very informative and well organized
Robotics Expo,Technical,Mechanical,5,Very informative and well organized
Leadership Workshop,Technical,EEE,5,Highly engaging and interactive session
Tech Fest,Cultural,Civil,4,Learned a lot from this event
AI Workshop,Workshop,Management,1,Expected more from this event
AI Workshop,Seminar,Arts,5,Excellent arrangements and content
Tech Fest,Technical,Mechanical,1,Not well organized
Leadership Workshop,Workshop,ECE,5,Amazing experience and great speakers
Tech Fest,Seminar,IT,5,Learned a lot from this event
AI Workshop,Workshop,EEE,5,Excellent arrangements and content
AI Workshop,Workshop,Mechanical,2,Sound system was bad
Data Science Bootcamp,Workshop,CSE,5,Learned a lot from this event
Tech Fest,Technical,EEE,5,Learned a lot from this event
Startup Meetup,Seminar,Civil,4,Very informative and well organized
Career Seminar,Seminar,ECE,5,Highly engaging and interactive session
Cyber Security Talk,Technical,Management,4,Learned a lot from this event
AI Workshop,Workshop,Management,4,Very informative and well organized
Cultural Night,Technical,Management,2,Poor time management
AI Workshop,Seminar,Civil,5,Learned a lot from this event
Data Science Bootcamp,Technical,IT,4,Very informative and well organized
Tech Fest,Technical,IT,5,Excellent arrangements and content
Cultural Night,Workshop,EEE,1,Sound system was bad
Career Seminar,Cultural,Arts,1,Sound system was bad
Tech Fest,Seminar,ECE,5,Amazing experience and great speakers
Hackathon,Cultural,Management,2,Poor time management
Leadership Workshop,Technical,CSE,5,Highly engaging and interactive session
AI Workshop,Seminar,CSE,5,Excellent arrangements and content
Tech Fest,Cultural,ECE,3,Content was fine but nothing special
Data Science Bootcamp,Technical,EEE,1,Poor time management
Cyber Security Talk,Technical,Management,4,Very informative and well organized
Cyber Security Talk,Technical,Mechanical,3,It was okay overall
Tech Fest,Technical,Arts,3,Decent event
Tech Fest,Workshop,Mechanical,1,Too long and boring
Career Seminar,Cultural,Mechanical,4,Highly engaging and interactive session
Tech Fest,Seminar,CSE,5,Learned a lot from this event
Cyber Security Talk,Technical,Management,5,Learned a lot from this event
Hackathon,Cultural,Management,2,Not well organized
Cyber Security Talk,Workshop,Civil,4,Highly engaging and interactive session
Startup Meetup,Cultural,ECE,5,Very informative and well organized
AI Workshop,Cultural,ECE,5,Learned a lot from this event
Hackathon,Cultural,Arts,5,Very informative and well organized
Data Science Bootcamp,Cultural,EEE,4,Excellent arrangements and content
Startup Meetup,Seminar,Management,5,Learned a lot from this event
Leadership Workshop,Cultural,EEE,5,Very informative and well organized
Robotics Expo,Cultural,Arts,1,Poor time management
Robotics Expo,Technical,Arts,2,Expected more from this event
Cyber Security Talk,Cultural,CSE,3,Decent event
Data Science Bootcamp,Seminar,Management,2,Not well organized
Robotics Expo,Seminar,ECE,1,Poor time management
Robotics Expo,Technical,EEE,5,Excellent arrangements and content
Cyber Security Talk,Workshop,Mechanical,3,Neither good nor bad
Leadership Workshop,Seminar,Arts,4,Highly engaging and interactive session
Robotics Expo,Cultural,Management,1,Poor time management
Startup Meetup,Cultural,CSE,2,Not well organized
Career Seminar,Seminar,ECE,2,Poor time management
Data Science Bootcamp,Cultural,ECE,2,Poor time management
Cultural Night,Cultural,ECE,3,"Average experience, could be better"
Tech Fest,Technical,Civil,3,Decent event
Hackathon,Seminar,IT,5,Highly engaging and interactive session
AI Workshop,Cultural,CSE,4,Amazing experience and great speakers
Tech Fest,Cultural,EEE,3,"Average experience, could be better"
AI Workshop,Workshop,IT,3,"Average experience, could be better"
Career Seminar,Seminar,CSE,5,Learned a lot from this event
Leadership Workshop,Workshop,Mechanical,3,Neither good nor bad
Data Science Bootcamp,Workshop,IT,2,Sound system was bad
AI Workshop,Workshop,Mechanical,1,Expected more from this event
AI Workshop,Cultural,IT,3,"Average experience, could be better"
Cyber Security Talk,Seminar,EEE,3,It was okay overall
Startup Meetup,Seminar,ECE,3,"Average experience, could be better"
Data Science Bootcamp,Technical,IT,3,It was okay overall
Data Science Bootcamp,Workshop,IT,4,Highly engaging and interactive session
Leadership Workshop,Technical,IT,2,Not well organized
Leadership Workshop,Seminar,ECE,1,Poor time management
Robotics Expo,Cultural,Arts,3,"Average experience, could be better"
Robotics Expo,Workshop,Civil,5,Highly engaging and interactive session
Startup Meetup,Seminar,Mechanical,3,Neither good nor bad
Robotics Expo,Workshop,Mechanical,3,"Average experience, could be better"
Cyber Security Talk,Workshop,EEE,5,Highly engaging and interactive session
Career Seminar,Cultural,Mechanical,4,Amazing experience and great speakers
Career Seminar,Workshop,Civil,2,Sound system was bad
Startup Meetup,Workshop,CSE,1,Poor time management
Cultural Night,Cultural,Civil,3,It was okay overall
Cyber Security Talk,Workshop,Arts,3,"Average experience, could be better"
Hackathon,Seminar,Management,2,Poor time management
Robotics Expo,Seminar,CSE,4,Excellent arrangements and content
Cyber Security Talk,Seminar,Mechanical,5,Amazing experience and great speakers
Startup Meetup,Technical,ECE,3,Neither good nor bad
Career Seminar,Workshop,IT,1,Not well organized
Cyber Security Talk,Cultural,EEE,2,Not well organized
Data Science Bootcamp,Seminar,ECE,1,Too long and boring
Startup Meetup,Cultural,IT,1,Poor time management
Cultural Night,Technical,IT,3,Content was fine but nothing special
AI Workshop,Cultural,Mechanical,1,Not well organized
Leadership Workshop,Seminar,Mechanical,3,"Average experience, could be better"
Hackathon,Cultural,EEE,3,Decent event
Leadership Workshop,Seminar,IT,2,Poor time management
Cultural Night,Workshop,EEE,1,Too long and boring
Startup Meetup,Workshop,Management,3,Neither good nor bad
Tech Fest,Technical,CSE,5,Excellent arrangements and content
Hackathon,Workshop,Mechanical,1,Sound system was bad
Leadership Workshop,Seminar,Civil,3,Neither good nor bad
Cyber Security Talk,Seminar,IT,5,Learned a lot from this event
Cyber Security Talk,Technical,Arts,5,Highly engaging and interactive session
Tech Fest,Workshop,IT,5,Excellent arrangements and content
Leadership Workshop,Workshop,Arts,3,Neither good nor bad
Cultural Night,Seminar,Management,5,Learned a lot from this event
Data Science Bootcamp,Seminar,Mechanical,2,Expected more from this event
Cultural Night,Workshop,IT,5,Very informative and well organized
Data Science Bootcamp,Workshop,Civil,2,Sound system was bad
Tech Fest,Seminar,CSE,3,Neither good nor bad
Cultural Night,Technical,Mechanical,3,Decent event
Robotics Expo,Seminar,Mechanical,5,Amazing experience and great speakers
Startup Meetup,Cultural,CSE,4,Excellent arrangements and content
Cultural Night,Seminar,Management,4,Very informative and well organized
Robotics Expo,Technical,CSE,4,Learned a lot from this event
Data Science Bootcamp,Workshop,ECE,4,Excellent arrangements and content
Cyber Security Talk,Workshop,IT,1,Sound system was bad
Cyber Security Talk,Seminar,ECE,5,Amazing experience and great speakers
Hackathon,Seminar,ECE,4,Highly engaging and interactive session
Cultural Night,Workshop,EEE,4,Learned a lot from this event
Career Seminar,Seminar,ECE,1,Too long and boring
Robotics Expo,Seminar,CSE,1,Not well organized
Career Seminar,Workshop,IT,3,Neither good nor bad
Hackathon,Cultural,EEE,2,Sound system was bad
Hackathon,Technical,IT,3,Neither good nor bad
Robotics Expo,Cultural,IT,5,Learned a lot from this event
Data Science Bootcamp,Technical,CSE,2,Too long and boring
Startup Meetup,Technical,Arts,4,Amazing experience and great speakers
Cyber Security Talk,Workshop,Management,1,Too long and boring
AI Workshop,Technical,Management,3,Neither good nor bad
Career Seminar,Cultural,Civil,3,Neither good nor bad
Data Science Bootcamp,Technical,EEE,5,Learned a lot from this event
Cultural Night,Technical,EEE,4,Highly engaging and interactive session
Robotics Expo,Cultural,Arts,4,Amazing experience and great speakers
Robotics Expo,Seminar,Management,2,Not well organized
Startup Meetup,Seminar,Civil,5,Excellent arrangements and content
Career Seminar,Seminar,IT,5,Amazing experience and great speakers
AI Workshop,Seminar,Mechanical,2,Too long and boring
Leadership Workshop,Cultural,EEE,5,Very informative and well organized
Cyber Security Talk,Cultural,ECE,5,Very informative and well organized
Data Science Bootcamp,Workshop,EEE,4,Excellent arrangements and content
Tech Fest,Seminar,Management,5,Highly engaging and interactive session
Tech Fest,Technical,IT,1,Too long and boring
Cultural Night,Technical,Civil,1,Poor time management
Tech Fest,Cultural,Mechanical,3,Neither good nor bad
Robotics Expo,Cultural,Arts,2,Sound system was bad
AI Workshop,Cultural,CSE,5,Amazing experience and great speakers
Cyber Security Talk,Seminar,IT,1,Poor time management
Startup Meetup,Technical,Mechanical,4,Learned a lot from this event
AI Workshop,Cultural,Arts,5,Highly engaging and interactive session
Tech Fest,Seminar,Arts,2,Expected more from this event
Robotics Expo,Seminar,EEE,5,Highly engaging and interactive session
Data Science Bootcamp,Technical,Management,4,Excellent arrangements and content
Data Science Bootcamp,Workshop,Arts,1,Poor time management
Hackathon,Workshop,ECE,2,Not well organized
Cyber Security Talk,Seminar,Arts,1,Too long and boring
Career Seminar,Seminar,IT,2,Too long and boring
Startup Meetup,Workshop,ECE,3,Content was fine but nothing special
Tech Fest,Technical,IT,4,Excellent arrangements and content
Leadership Workshop,Technical,Arts,3,Content was fine but nothing special
Data Science Bootcamp,Seminar,CSE,4,Amazing experience and great speakers
Cyber Security Talk,Cultural,Management,5,Excellent arrangements and content
Cyber Security Talk,Seminar,IT,5,Highly engaging and interactive session
Career Seminar,Seminar,EEE,1,Expected more from this event
Robotics Expo,Seminar,Mechanical,3,Neither good nor bad
Robotics Expo,Cultural,Mechanical,2,Sound system was bad
Data Science Bootcamp,Seminar,EEE,4,Very informative and well organized
Robotics Expo,Seminar,Management,2,Not well organized
Robotics Expo,Cultural,Civil,3,Neither good nor bad
Robotics Expo,Seminar,Mechanical,5,Excellent arrangements and content
Startup Meetup,Technical,Civil,5,Learned a lot from this event
Hackathon,Seminar,Mechanical,3,"Average experience, could be better"
Data Science Bootcamp,Cultural,CSE,3,It was okay overall
Startup Meetup,Seminar,ECE,3,"Average experience, could be better"
Cyber Security Talk,Cultural,Management,5,Very informative and well organized
Leadership Workshop,Cultural,Civil,3,"Average experience, could be better"
Startup Meetup,Cultural,Mechanical,1,Sound system was bad
Startup Meetup,Technical,Civil,5,Very informative and well organized
Cultural Night,Workshop,Civil,2,Expected more from this event
Cultural Night,Workshop,IT,4,Highly engaging and interactive session
Leadership Workshop,Seminar,Mechanical,2,Not well organized
Hackathon,Technical,Arts,5,Very informative and well organized
Cultural Night,Technical,Mechanical,2,Not well organized
Tech Fest,Seminar,EEE,1,Too long and boring
Tech Fest,Cultural,IT,2,Too long and boring
Robotics Expo,Cultural,EEE,1,Sound system was bad
Leadership Workshop,Seminar,EEE,5,Excellent arrangements and content
Robotics Expo,Seminar,Mechanical,2,Too long and boring
Robotics Expo,Seminar,CSE,4,Learned a lot from this event
Data Science Bootcamp,Seminar,EEE,2,Sound system was bad
Startup Meetup,Cultural,IT,5,Highly engaging and interactive session
Data Science Bootcamp,Technical,Mechanical,3,Neither good nor bad
AI Workshop,Technical,ECE,1,Poor time management
Tech Fest,Seminar,IT,4,Excellent arrangements and content
AI Workshop,Seminar,Mechanical,5,Learned a lot from this event
Leadership Workshop,Seminar,Arts,5,Learned a lot from this event
Cultural Night,Workshop,EEE,5,Excellent arrangements and content
AI Workshop,Cultural,Mechanical,1,Not well organized
Startup Meetup,Cultural,Mechanical,2,Too long and boring
Leadership Workshop,Workshop,Civil,4,Highly engaging and interactive session
Data Science Bootcamp,Seminar,CSE,1,Too long and boring
Tech Fest,Seminar,Arts,2,Not well organized
Startup Meetup,Technical,Arts,3,Decent event
AI Workshop,Workshop,ECE,1,Expected more from this event
AI Workshop,Workshop,IT,2,Not well organized
Startup Meetup,Seminar,Mechanical,2,Sound system was bad
Leadership Workshop,Cultural,IT,3,Neither good nor bad
Startup Meetup,Seminar,Arts,2,Sound system was bad
Cyber Security Talk,Technical,Arts,1,Too long and boring
Tech Fest,Seminar,Civil,5,Very informative and well organized
Robotics Expo,Cultural,CSE,1,Poor time management
Startup Meetup,Workshop,Mechanical,4,Very informative and well organized
Hackathon,Workshop,CSE,4,Highly engaging and interactive session
Cyber Security Talk,Cultural,Arts,2,Too long and boring
Career Seminar,Cultural,CSE,2,Not well organized
Leadership Workshop,Workshop,Arts,3,Content was fine but nothing special
Tech Fest,Technical,EEE,2,Expected more from this event
Cyber Security Talk,Workshop,Management,1,Not well organized
AI Workshop,Seminar,Arts,3,"Average experience, could be better"
Leadership Workshop,Cultural,Mechanical,5,Learned a lot from this event
Cyber Security Talk,Cultural,EEE,3,It was okay overall
Data Science Bootcamp,Technical,Arts,1,Sound system was bad
Tech Fest,Cultural,ECE,3,Decent event
Leadership Workshop,Technical,IT,4,Highly engaging and interactive session
Cultural Night,Technical,ECE,3,"Average experience, could be better"
Leadership Workshop,Seminar,Management,5,Highly engaging and interactive session
Tech Fest,Workshop,EEE,2,Sound system was bad
Career Seminar,Cultural,CSE,3,Decent event
Startup Meetup,Technical,Civil,2,Poor time management
Data Science Bootcamp,Seminar,EEE,3,It was okay overall
AI Workshop,Workshop,Civil,2,Poor time management
Cyber Security Talk,Cultural,CSE,2,Poor time management
Data Science Bootcamp,Workshop,IT,1,Too long and boring
Tech Fest,Seminar,ECE,5,Amazing experience and great speakers
Cyber Security Talk,Technical,CSE,1,Too long and boring
Tech Fest,Cultural,Mechanical,5,Amazing experience and great speakers
Startup Meetup,Workshop,Civil,5,Learned a lot from this event
Leadership Workshop,Seminar,EEE,4,Excellent arrangements and content
Data Science Bootcamp,Cultural,Civil,5,Highly engaging and interactive session
Cyber Security Talk,Technical,Civil,3,"Average experience, could be better"
Data Science Bootcamp,Seminar,ECE,1,Expected more from this event
Data Science Bootcamp,Seminar,Mechanical,2,Expected more from this event
Career Seminar,Technical,Civil,2,Expected more from this event
Career Seminar,Seminar,Management,2,Too long and boring
AI Workshop,Cultural,Civil,5,Highly engaging and interactive session
Cultural Night,Technical,IT,5,Very informative and well organized
Leadership Workshop,Cultural,Mechanical,5,Excellent arrangements and content
Startup Meetup,Seminar,IT,3,Neither good nor bad
Hackathon,Cultural,IT,3,It was okay overall
Cyber Security Talk,Workshop,Mechanical,3,It was okay overall
Hackathon,Technical,EEE,3,Decent event
Startup Meetup,Seminar,Civil,3,It was okay overall
Leadership Workshop,Workshop,Civil,3,Content was fine but nothing special
Cyber Security Talk,Technical,CSE,3,Neither good nor bad
Data Science Bootcamp,Seminar,Arts,5,Amazing experience and great speakers
Startup Meetup,Seminar,Arts,3,Content was fine but nothing special
Career Seminar,Workshop,Civil,4,Learned a lot from this event
Data Science Bootcamp,Workshop,Arts,3,It was okay overall
Leadership Workshop,Workshop,Arts,2,Too long and boring
Leadership Workshop,Technical,CSE,5,Excellent arrangements and content
Hackathon,Cultural,Civil,4,Very informative and well organized
Cyber Security Talk,Cultural,Management,5,Learned a lot from this event
AI Workshop,Seminar,Management,4,Learned a lot from this event
Leadership Workshop,Cultural,Management,2,Sound system was bad
Data Science Bootcamp,Cultural,Civil,4,Very informative and well organized
Career Seminar,Technical,ECE,5,Amazing experience and great speakers
Startup Meetup,Cultural,CSE,4,Excellent arrangements and content
AI Workshop,Workshop,ECE,4,Learned a lot from this event
Startup Meetup,Seminar,Civil,4,Amazing experience and great speakers
Hackathon,Cultural,IT,2,Poor time management
AI Workshop,Seminar,CSE,2,Too long and boring
Hackathon,Cultural,Civil,1,Too long and boring
Hackathon,Cultural,Civil,5,Amazing experience and great speakers
Career Seminar,Seminar,ECE,5,Learned a lot from this event
Cyber Security Talk,Workshop,EEE,1,Not well organized
Robotics Expo,Seminar,CSE,3,Decent event
Career Seminar,Technical,Mechanical,5,Highly engaging and interactive session
Tech Fest,Seminar,CSE,5,Very informative and well organized
AI Workshop,Seminar,IT,3,"Average experience, could be better"
Startup Meetup,Cultural,ECE,3,Content was fine but nothing special
Startup Meetup,Workshop,EEE,1,Expected more from this event
Robotics Expo,Technical,EEE,4,Highly engaging and interactive session
Tech Fest,Cultural,CSE,1,Not well organized
Career Seminar,Cultural,EEE,1,Poor time management
AI Workshop,Technical,Civil,5,Very informative and well organized
Tech Fest,Workshop,Management,2,Sound system was bad
Tech Fest,Workshop,EEE,3,It was okay overall
Robotics Expo,Workshop,Arts,2,Expected more from this event
Data Science Bootcamp,Technical,EEE,5,Very informative and well organized
Startup Meetup,Workshop,IT,5,Highly engaging and interactive session
Leadership Workshop,Workshop,Mechanical,5,Highly engaging and interactive session
Cyber Security Talk,Technical,Management,3,Decent event
Robotics Expo,Workshop,Mechanical,4,Excellent arrangements and content
Cyber Security Talk,Workshop,Mechanical,2,Poor time management
Data Science Bootcamp,Cultural,ECE,5,Very informative and well organized
Hackathon,Seminar,Mechanical,4,Excellent arrangements and content
Hackathon,Cultural,CSE,2,Not well organized
Cyber Security Talk,Workshop,ECE,3,Decent event
Robotics Expo,Seminar,EEE,4,Highly engaging and interactive session
Career Seminar,Technical,Arts,4,Highly engaging and interactive session
Hackathon,Workshop,Mechanical,4,Learned a lot from this event
Startup Meetup,Technical,Mechanical,4,Highly engaging and interactive session
Leadership Workshop,Workshop,Civil,3,Decent event
Career Seminar,Cultural,Management,2,Poor time management
Data Science Bootcamp,Workshop,Mechanical,4,Learned a lot from this event
Robotics Expo,Technical,Management,1,Sound system was bad
Robotics Expo,Seminar,Management,3,Neither good nor bad
AI Workshop,Workshop,ECE,5,Very informative and well organized
Cultural Night,Workshop,Mechanical,5,Amazing experience and great speakers
Startup Meetup,Workshop,ECE,4,Highly engaging and interactive session
Startup Meetup,Workshop,EEE,1,Sound system was bad
Hackathon,Technical,Management,4,Highly engaging and interactive session
Cyber Security Talk,Seminar,Arts,1,Sound system was bad
Career Seminar,Seminar,EEE,3,Neither good nor bad
Career Seminar,Cultural,Management,1,Too long and boring
Robotics Expo,Cultural,Arts,3,Decent event
Cyber Security Talk,Technical,CSE,5,Excellent arrangements and content
AI Workshop,Workshop,Management,3,Content was fine but nothing special
Hackathon,Cultural,Mechanical,4,Excellent arrangements and content
Cultural Night,Workshop,Arts,2,Not well organized
Robotics Expo,Technical,Mechanical,1,Too long and boring
Cultural Night,Cultural,Mechanical,4,Learned a lot from this event
Tech Fest,Cultural,ECE,2,Poor time management
Robotics Expo,Seminar,Mechanical,1,Expected more from this event
Career Seminar,Workshop,CSE,4,Very informative and well organized
AI Workshop,Technical,Civil,2,Too long and boring
Robotics Expo,Cultural,IT,1,Too long and boring
Career Seminar,Cultural,CSE,2,Sound system was bad
Hackathon,Workshop,ECE,5,Very informative and well organized
Cyber Security Talk,Seminar,Management,2,Expected more from this event
Data Science Bootcamp,Seminar,CSE,4,Amazing experience and great speakers
Cultural Night,Workshop,IT,3,"Average experience, could be better"
Tech Fest,Technical,Arts,1,Not well organized
Career Seminar,Workshop,ECE,1,Poor time management
Cyber Security Talk,Cultural,Civil,5,Very informative and well organized
Leadership Workshop,Seminar,Civil,4,Learned a lot from this event
Tech Fest,Cultural,ECE,5,Highly engaging and interactive session
Data Science Bootcamp,Cultural,Management,4,Very informative and well organized
Hackathon,Workshop,Civil,1,Poor time management
Tech Fest,Cultural,CSE,5,Amazing experience and great speakers
Career Seminar,Technical,EEE,4,Excellent arrangements and content
AI Workshop,Technical,ECE,1,Not well organized
Robotics Expo,Seminar,Mechanical,2,Poor time management
Startup Meetup,Technical,Mechanical,3,"Average experience, could be better"
Data Science Bootcamp,Technical,Mechanical,4,Amazing experience and great speakers
Leadership Workshop,Workshop,Arts,2,Poor time management
AI Workshop,Workshop,Management,3,"Average experience, could be better"
Career Seminar,Seminar,CSE,4,Excellent arrangements and content
Cultural Night,Seminar,IT,2,Sound system was bad
Career Seminar,Technical,Management,4,Learned a lot from this event
Startup Meetup,Cultural,Civil,2,Too long and boring
Robotics Expo,Seminar,ECE,3,"Average experience, could be better"
Robotics Expo,Seminar,CSE,1,Sound system was bad
Career Seminar,Technical,CSE,2,Not well organized
Robotics Expo,Seminar,CSE,1,Too long and boring
Tech Fest,Cultural,Arts,4,Highly engaging and interactive session
Data Science Bootcamp,Technical,IT,1,Poor time management
Leadership Workshop,Workshop,ECE,4,Excellent arrangements and content
Cultural Night,Workshop,EEE,2,Too long and boring
Hackathon,Cultural,Civil,1,Too long and boring
Career Seminar,Seminar,CSE,1,Not well organized
Hackathon,Workshop,ECE,4,Highly engaging and interactive session
Cultural Night,Technical,ECE,1,Expected more from this event
Robotics Expo,Cultural,Management,3,"Average experience, could be better"
Career Seminar,Technical,CSE,5,Learned a lot from this event
Hackathon,Technical,IT,2,Poor time management
Cyber Security Talk,Technical,Civil,3,Content was fine but nothing special
Leadership Workshop,Workshop,EEE,1,Poor time management
Career Seminar,Workshop,EEE,3,Decent event
Cultural Night,Technical,Civil,4,Amazing experience and great speakers
Hackathon,Workshop,Arts,4,Learned a lot from this event
Leadership Workshop,Cultural,IT,1,Poor time management
Cultural Night,Seminar,Arts,4,Learned a lot from this event
AI Workshop,Seminar,CSE,1,Sound system was bad
Tech Fest,Technical,ECE,3,Decent event
Data Science Bootcamp,Workshop,EEE,3,Neither good nor bad
AI Workshop,Seminar,Civil,5,Excellent arrangements and content
AI Workshop,Seminar,Management,4,Highly engaging and interactive session
Career Seminar,Technical,Civil,5,Excellent arrangements and content
Startup Meetup,Workshop,EEE,5,Very informative and well organized
Tech Fest,Cultural,Civil,1,Poor time management
Robotics Expo,Workshop,EEE,5,Very informative and well organized
Leadership Workshop,Workshop,Management,1,Not well organized
Tech Fest,Cultural,Mechanical,3,Decent event
Career Seminar,Cultural,Civil,1,Not well organized
Leadership Workshop,Workshop,Civil,2,Too long and boring
Startup Meetup,Seminar,Civil,4,Very informative and well organized
Hackathon,Seminar,ECE,1,Expected more from this event
